Timestamp,WD_Avg,WS_Cup1_Avg,WS_Cup1_Std,TI_Cup1,WS_Cup2_Avg,WS_Cup2_Std,TI_Cup2,WS_RSD_Avg,WS_RSD_Std,TI_RSD
2/12/2018 10:10,256.7,7.031,1.088,0.15474,6.912,1.095,0.15842,7.12,1.25,0.17556
2/12/2018 10:20,257.3,6.606,1.285,0.19452,6.651,1.229,0.18478,7.19,1.47,0.20445
2/12/2018 10:30,258.3,7.122,1.201,0.16863,7.123,1.197,0.16805,7.14,1.57,0.21989
2/12/2018 10:40,260,7.106,1.077,0.15156,7.128,1.03,0.1445,6.95,1.33,0.19137
2/12/2018 10:50,256.9,7.006,1.344,0.19184,6.971,1.339,0.19208,7.02,1.52,0.21652
2/12/2018 11:00,259.7,6.9,1.226,0.17768,6.927,1.214,0.17526,7.08,1.41,0.19915
2/12/2018 11:10,254,7.13,1.09,0.15288,7.156,1.104,0.15428,6.86,1.3,0.1895
2/12/2018 11:20,252.4,7.011,0.884,0.12609,7.157,0.835,0.11667,7.15,1.02,0.14266
2/12/2018 11:30,255.7,7.269,0.879,0.12092,7.269,0.927,0.12753,6.77,1.49,0.22009
2/12/2018 11:40,259.7,6.928,1.377,0.19876,7.037,1.363,0.19369,6.52,1.15,0.17638
2/12/2018 11:50,265.5,6.65,0.939,0.1412,6.732,0.927,0.1377,8.02,1.34,0.16708
2/12/2018 12:10,261.7,7.908,1.08,0.13657,7.933,1.09,0.1374,7.85,0.98,0.12484
2/12/2018 12:20,264.8,8.185,0.739,0.09029,8.225,0.716,0.08705,7.58,1.98,0.26121
2/12/2018 14:20,266.1,6.498,0.909,0.13989,6.568,0.875,0.13322,6.09,0.83,0.13629
2/12/2018 14:40,265,6.306,0.847,0.13432,6.357,0.876,0.1378,7.13,1.23,0.17251
2/12/2018 14:50,263.8,7.074,1.242,0.17557,7.181,1.225,0.17059,6.86,0.86,0.12536
2/12/2018 15:00,264.7,6.839,0.813,0.11888,6.919,0.774,0.11187,6.12,0.82,0.13399
2/12/2018 15:10,261.5,6.131,0.747,0.12184,6.236,0.769,0.12332,6.17,1.04,0.16856
2/12/2018 15:20,256.8,6.33,0.874,0.13807,6.376,0.884,0.13864,6.11,0.74,0.12111
2/12/2018 15:30,251.6,6.3,0.688,0.10921,6.298,0.678,0.10765,6.13,1.08,0.17618
2/12/2018 15:40,249.6,6.306,0.839,0.13305,6.391,0.77,0.12048,5.41,1,0.18484
2/12/2018 15:50,247.1,5.465,0.859,0.15718,5.553,0.886,0.15955,6.03,0.67,0.11111
2/12/2018 16:00,258.5,6.104,0.437,0.07159,6.141,0.502,0.08175,4.88,0.78,0.15984
2/12/2018 16:10,257.7,5.039,0.594,0.11788,5.068,0.638,0.12589,4.6,0.64,0.13913
2/12/2018 16:20,254,4.835,0.694,0.14354,4.96,0.632,0.12742,5.76,0.58,0.10069
2/12/2018 16:30,254.8,5.892,0.729,0.12373,5.936,0.698,0.11759,7.01,0.83,0.1184
2/12/2018 16:40,256.1,7.157,0.961,0.13427,7.187,0.989,0.13761,6.42,0.79,0.12305
2/12/2018 16:50,254.5,6.648,0.729,0.10966,6.683,0.718,0.10744,5.87,0.76,0.12947
2/12/2018 17:00,257.8,5.964,0.662,0.111,6.059,0.682,0.11256,6.71,1.13,0.16841
2/12/2018 17:50,264.6,7.024,0.513,0.07304,7.083,0.506,0.07144,7.36,0.34,0.0462
2/12/2018 18:00,258.7,7.604,0.39,0.05129,7.646,0.369,0.04826,7.44,0.38,0.05108
2/12/2018 18:10,253.5,7.627,0.317,0.04156,7.668,0.321,0.04186,8.05,0.27,0.03354
2/12/2018 18:20,251.3,8.301,0.239,0.02879,8.367,0.232,0.02773,7.59,0.44,0.05797
2/12/2018 18:30,255.2,7.836,0.552,0.07044,7.88,0.526,0.06675,8.29,0.48,0.0579
2/12/2018 18:40,256.1,8.505,0.449,0.05279,8.539,0.443,0.05188,8.67,0.58,0.0669
2/12/2018 18:50,254.8,8.945,0.596,0.06663,9.004,0.582,0.06464,8.41,0.63,0.07491
